#字頭	聲母	韻母	陰陽	四聲	小韻	釋義
洛	來	剛	陰	入	洛	水名
絡	來	剛	陰	入	洛	聯絡不斷又脹絡筋絡
烙	來	剛	陰	入	洛	燒也紂行炮烙之刑
駱	來	剛	陰	入	洛	白馬黑鬣曰駱又駱駝
𪃕	來	剛	陰	入	洛	水名
雒	來	剛	陰	入	洛	鳥名又黑馬白鬣曰雒
犖	來	剛	陰	入	洛	卓犖超絕也
撲	滂	剛	陰	入	撲	擊打也
樸	滂	剛	陰	入	撲	木素也上曰杯木曰樸又質樸
璞	滂	剛	陰	入	撲	玉未琢
朴	滂	剛	陰	入	撲	質實也又硬朴
粕	滂	剛	陰	入	撲	糟粕酒滓也
惡	亞	剛	陰	入	惡	醜惡不善也
錯	清	剛	陰	入	錯	舛也乖也誤也亂也
作	精	剛	陰	入	作	起也造也爲也
索	心	剛	陰	入	索	盡也散也懼也
䌇	心	剛	陰	入	索	繩䌇
摸	明	剛	陰	入	摸	文國切掠取也即撈摸又音莫
國	古	剛	陰	入	國	邦國
蟈	古	剛	陰	入	國	螻蟈蟲名
幗	古	剛	陰	入	國	婦人喪服
郭	古	剛	陰	入	國	外城曰郭又大也又姓
鞹	古	剛	陰	入	國	皮去毛曰鞹
鞟	古	剛	陰	入	國	同上【鞹】（皮去毛曰鞹）
椁	古	剛	陰	入	國	外棺曰椁
槨	古	剛	陰	入	國	同上【椁】（外棺曰椁）
獲	云	剛	陰	入	獲	得也
穫	云	剛	陰	入	獲	割禾曰穫
蠖	云	剛	陰	入	獲	尺蠖屈伸蟲也
蒦	云	剛	陰	入	獲	蒦頭收系器
擴	非	剛	陰	入	擴	張大也推而廣也
廓	非	剛	陰	入	擴	開大也
躩	非	剛	陰	入	擴	盤辟貌
攫	非	剛	陰	入	擴	爪持也撲取也
矍	非	剛	陰	入	擴	矍鑠輕健貌
縛	非	剛	陰	入	擴	綁縛
钁	非	剛	陰	入	擴	鋤頭
霍	非	剛	陰	入	擴	姓
藿	非	剛	陰	入	擴	藿香草名
攉	非	剛	陰	入	擴	手反覆也搖手曰揮反手曰攉
殼	曉	剛	陰	入	殼	行作切物之外皮曰殼又銅鐵殼
薄	幫	剛	陽	入	薄	輕也微也
泊	幫	剛	陽	入	薄	淡泊灣泊
箔	幫	剛	陽	入	薄	竹箔簾也又金箔
舶	幫	剛	陽	入	薄	小舟
礴	幫	剛	陽	入	薄	磅礡氣化充滿也
學	曉	剛	陽	入	學	效也又庠序總名
斈	曉	剛	陽	入	學	同上【學】（效也又庠序總名）
鶴	曉	剛	陽	入	學	白鶴
翯	曉	剛	陽	入	學	潔白貌
昨	精	剛	陽	入	昨	昔日也
怍	精	剛	陽	入	昨	愧怍
柞	精	剛	陽	入	昨	木名
酢	精	剛	陽	入	昨	酬酢
鑿	精	剛	陽	入	昨	鏨鑿又精也實也
莫	明	剛	陽	入	莫	無也勿也不可也
漠	明	剛	陽	入	莫	沙漠北方流沙也又廣也大也又沛漠
膜	明	剛	陽	入	莫	内間曰膜
鏌	明	剛	陽	入	莫	鏌鋣劍名
寞	明	剛	陽	入	莫	寂寞
瘼	明	剛	陽	入	莫	病也
幙	明	剛	陽	入	莫	帷幙將軍之居曰幙府
邈	明	剛	陽	入	莫	遠也渺也雄視也又音眇
幕	明	剛	陽	入	莫	與幙同
樂	我	剛	陽	入	樂	禮樂
岳	我	剛	陽	入	樂	大山也天子遊方岳
嶽	我	剛	陽	入	樂	衆山之宗
諤	我	剛	陽	入	樂	謇諤直言也
讍	我	剛	陽	入	樂	同上【諤】（謇諤直言也）
噩	我	剛	陽	入	樂	嚴肅貌
鱷	我	剛	陽	入	樂	大魚
鶚	我	剛	陽	入	樂	鵰也
鄂	我	剛	陽	入	樂	鄂然
愕	我	剛	陽	入	樂	錯愕驚愕懼貌
萼	我	剛	陽	入	樂	花萼
咢	我	剛	陽	入	樂	徒擊鼓聲
鸑	我	剛	陽	入	樂	鸑鷟鳥名
濯	照	剛	陽	入	濯	浣濯又肥澤貌
落	來	剛	陽	入	落	降也又磊落
樂	來	剛	陽	入	落	歡娛也
濼	來	剛	陽	入	落	地名
鐸	端	剛	陽	入	鐸	木鐸金口木舌擊以儆衆者
度	端	剛	陽	入	鐸	量度籌度謀也
諾	泥	剛	陽	入	諾	應詞也
鑊	云	剛	陽	入	鑊	云落切釜屬
朝	照	朝	陰	平	朝	旦也早也又朝鮮國名
招	照	朝	陰	平	朝	手呼也以言曰召以手曰招
夭	以	朝	陰	平	夭	夭夭少好貌
妖	以	朝	陰	平	夭	巧也艷也好也媚也祥也孽也
幺	以	朝	陰	平	夭	小也
腰	以	朝	陰	平	夭	身之中也
要	以	朝	陰	平	夭	要求要截招也勤也
葽	以	朝	陰	平	夭	草名
喓	以	朝	陰	平	夭	草蟲鳴聲
邀	以	朝	陰	平	夭	求也招也請也
徼	以	朝	陰	平	夭	徼幸謂非正理也又求也又祭也
驕	見	朝	陰	平	驕	緃肆驕傲驕矜驕奢
嬌	見	朝	陰	平	驕	美色
鷮	見	朝	陰	平	驕	雉也
澆	見	朝	陰	平	驕	澆漓澆薄又沃也
昭	穿	朝	陰	平	昭	明也光也
超	穿	朝	陰	平	昭	越也躍而過也
弨	穿	朝	陰	平	昭	弛也
釗	穿	朝	陰	平	昭	遠也見也勉也又弩牙也
彫	端	朝	陰	平	彫	刻畫也彫落彫琢又彫零
凋	端	朝	陰	平	彫	零落也
琱	端	朝	陰	平	彫	治玉也
鵰	端	朝	陰	平	彫	鳥名其羽可爲箭
貂	端	朝	陰	平	彫	貂鼠
刁	端	朝	陰	平	彫	狡惡之人
丢	端	朝	陰	平	彫	棄也去而不取也
雕	端	朝	陰	平	彫	同彫
蕭	心	朝	陰	平	蕭	艾蒿也又蕭條
箫	心	朝	陰	平	蕭	樂器
潇	心	朝	陰	平	蕭	風雨暴疾又瀟湘二水名
𢑁	心	朝	陰	平	蕭	弓弭頭也
蠨	心	朝	陰	平	蕭	蠨蛸小蜘蛛也
消	心	朝	陰	平	蕭	散也减也滅也又消息
銷	心	朝	陰	平	蕭	火鑠金也
硝	心	朝	陰	平	蕭	硭硝藥名又硝磺火藥
逍	心	朝	陰	平	蕭	逍遙翺翔自適貌
霄	心	朝	陰	平	蕭	雲宵近天氣也
宵	心	朝	陰	平	蕭	夜也
翛	心	朝	陰	平	蕭	羽敝也又飛貌
綃	心	朝	陰	平	蕭	生絲繒也又鮫綃
𤑳	心	朝	陰	平	蕭	𤑔也
囂	曉	朝	陰	平	囂	喧也又囂囂無欲自得之貌
嘵	曉	朝	陰	平	囂	嘵嘵恐懼告愬意
枵	曉	朝	陰	平	囂	枵腹空虛也又木名
鴞	曉	朝	陰	平	囂	鴟鴞惡聲之鳥
梟	曉	朝	陰	平	囂	勇也又斬罪以其首示衆曰梟首
椒	精	朝	陰	平	椒	胡椒皇后稱椒房以𡍼壁取其溫柔又姓
蕉	精	朝	陰	平	椒	芭蕉花名
焦	精	朝	陰	平	椒	火燒黑也又勞心曰焦
鷦	精	朝	陰	平	椒	鷦鷯鳥名
膲	精	朝	陰	平	椒	二膲五臟之上系管爲三膲又從頭至心心至臍臍至足爲上下三膲
鐎	精	朝	陰	平	椒	鐎斗即刀斗其器可受二升晝炊夜擊
噍	精	朝	陰	平	椒	無噍類言絕也
標	幫	朝	陰	平	標	立木以爲表
縹	幫	朝	陰	平	標	帛青白色又縹縹輕舉貌
鏢	幫	朝	陰	平	標	兵器
鑣	幫	朝	陰	平	標	馬銜外鐵也
儦	幫	朝	陰	平	標	獸趨走也
瀌	幫	朝	陰	平	標	雨雪盛貌
臕	幫	朝	陰	平	標	脂臕肥貌
麃	幫	朝	陰	平	標	麃麃武貌
飊	幫	朝	陰	平	標	風急貌
猋	幫	朝	陰	平	標	犬走貌
髟	幫	朝	陰	平	標	髮長貌
飄	滂	朝	陰	平	飄	風吹
漂	滂	朝	陰	平	飄	浮也動也流也
嘌	滂	朝	陰	平	飄	嘌嘌搖不安貌
挑	透	朝	陰	平	挑	挑撥又杖荷又取也又往來貌
佻	透	朝	陰	平	挑	佻佻輕薄不禁勞苦貌
𠛪	透	朝	陰	平	挑	剔也
恌	透	朝	陰	平	挑	偷薄也
祧	透	朝	陰	平	挑	遷廟曰祧廟
燒	審	朝	陰	平	燒	火燒黑也又勞心曰焦
調	透	朝	陽	平	調	和合也又調停調劑又揉伏也
條	透	朝	陽	平	調	條理條件又幹也
鯈	透	朝	陽	平	調	魚名
鞗	透	朝	陽	平	調	馬轡也
迢	透	朝	陽	平	調	迢遞遠也
髫	透	朝	陽	平	調	髫年垂髮少年也
苕	透	朝	陽	平	調	草名
齠	透	朝	陽	平	調	始毀齒也
鰷	透	朝	陽	平	調	魚名
蜩	透	朝	陽	平	調	蟬也
堯	日	朝	陽	平	堯	陶唐氏號謚法翼善傳聖曰堯
蕘	日	朝	陽	平	堯	薪名
饒	日	朝	陽	平	堯	豐也厚也餘也足也
嬈	日	朝	陽	平	堯	嬌嬈妍媚貌
橈	日	朝	陽	平	堯	舟中之楫也
驍	日	朝	陽	平	堯	武勇也健也又良馬
僥	日	朝	陽	平	堯	焦僥氏南蠻之別名人短至三尺又音驕僞也
寮	來	朝	陽	平	寮	同官曰寮平班亦曰寮
僚	來	朝	陽	平	寮	同上【寮】（同官曰寮平班亦曰寮）
繚	來	朝	陽	平	寮	繞也纏也
遼	來	朝	陽	平	寮	遠也又水名又東胡國號曰大遼又遼東
療	來	朝	陽	平	寮	治病曰療病
燎	來	朝	陽	平	寮	明也爕也
撩	來	朝	陽	平	寮	招也
鷯	來	朝	陽	平	寮	鷦鷯小鳥
嫽	來	朝	陽	平	寮	相嫽戲也
寥	來	朝	陽	平	寮	寂寥靜也又空也廓也
憀	來	朝	陽	平	寮	憀賴又悲恨也
聊	來	朝	陽	平	寮	耳鳴也又且也略也賴也况昧也
膋	來	朝	陽	平	寮	腸間之膏也
㙩	來	朝	陽	平	寮	宵田曰㙩
嘹	來	朝	陽	平	寮	嘹喨鳴聲清徹也
喬	溪	朝	陽	平	喬	高也大也
橋	溪	朝	陽	平	喬	橋梁
僑	溪	朝	陽	平	喬	旅寓而居也
翹	溪	朝	陽	平	喬	高也企也又翹首舉頭望也又翹楚喻人之特出也
荍	溪	朝	陽	平	喬	菜名
徭	以	朝	陽	平	徭	役也使也
猺	以	朝	陽	平	徭	猺獞山之人也
瑤	以	朝	陽	平	徭	瓊瑤美玉也
謠	以	朝	陽	平	徭	徒歌曰謠又謠言
遙	以	朝	陽	平	徭	逍遙又遠也
窰	以	朝	陽	平	徭	窰竈所以燒瓦
颻	以	朝	陽	平	徭	飄颻風動貌
鷂	以	朝	陽	平	徭	鳥名其羽可爲箭
姚	以	朝	陽	平	徭	舜姓舜居姚墟因以爲姓又嫖姚官名也
摇	以	朝	陽	平	徭	動也
陶	以	朝	陽	平	徭	臯陶舜臣名
軺	以	朝	陽	平	徭	小車也
愮	以	朝	陽	平	徭	憂無告也又悸也邪也惑也
樵	清	朝	陽	平	樵	采薪曰樵
憔	清	朝	陽	平	樵	憔悴煎苦貌
譙	清	朝	陽	平	樵	地名又殺也
瓢	滂	朝	陽	平	瓢	瓠也
䕯	滂	朝	陽	平	瓢	浮萍也
薸	滂	朝	陽	平	瓢	同上【䕯】（浮萍也）
嫖	滂	朝	陽	平	瓢	嫖姚官名
潮	穿	朝	陽	平	潮	海水旋流每日消長朝曰潮夕曰汐
朝	穿	朝	陽	平	潮	朝廷朝覲
鼂	穿	朝	陽	平	潮	姓
晁	穿	朝	陽	平	潮	同上【鼂】（姓）
韶	審	朝	陽	平	韶	舜樂名給也又韶華韶光
苗	明	朝	陽	平	苗	禾苗又草始生曰苗又有苗國名又苗裔
描	明	朝	陽	平	苗	寫也畫也
猫	明	朝	陽	平	苗	捉鼠之獸
貓	明	朝	陽	平	苗	同上【猫】（捉鼠之獸）
沼	照	朝	陰	上	沼	池沼圓曰池方曰沼
矯	見	朝	陰	上	矯	強貌又擅也妄託上命也又矯詐矯枉
繳	見	朝	陰	上	矯	纏也又綪尾也
皦	見	朝	陰	上	矯	明也又玉石之白
嶠	見	朝	陰	上	矯	蠪嶠螘也又天嶠龍貌
敽	見	朝	陰	上	矯	連也繫也書經敽乃干
嶠	見	朝	陰	上	矯	山屹而高
撟	見	朝	陰	上	矯	揉也物也
殀	以	朝	陰	上	殀	短命也
窈	以	朝	陰	上	殀	幽深也靜遠也
鷕	以	朝	陰	上	殀	雌雉聲
窅	以	朝	陰	上	殀	深遠也
悄	清	朝	陰	上	悄	憂也
峭	清	朝	陰	上	悄	陖也險也
鞘	清	朝	陰	上	悄	刀劍殿
俏	清	朝	陰	上	悄	密行也又似也像也
勦	精	朝	陰	上	勦	征勦截殺也又勦集
剿	精	朝	陰	上	勦	同上【勦】（征勦截殺也又勦集）
表	幫	朝	陰	上	表	外也標也明也又箋也下進言曰表
少	審	朝	陰	上	少	X
小	心	朝	陰	上	小	微也細也
篠	心	朝	陰	上	小	小竹也箭屬
筱	心	朝	陰	上	小	同上【篠】（小竹也箭屬）
曉	曉	朝	陰	上	曉	通曉
擾	日	朝	陽	上	擾	煩擾擾亂
遶	日	朝	陽	上	擾	環也圍也
繞	日	朝	陽	上	擾	纏繞旋繞
莩	滂	朝	陽	上	莩	餓死人也
殍	滂	朝	陽	上	莩	同上【莩】（餓死人也）
剽	滂	朝	陽	上	莩	剽掠劫也
摽	滂	朝	陽	上	莩	麾也落也
渺	明	朝	陽	上	渺	渺茫大水貌
眇	明	朝	陽	上	渺	一目小也又微也未也
杳	明	朝	陽	上	渺	杳冥深也遠也
杪	明	朝	陽	上	渺	木末也
藐	明	朝	陽	上	渺	遠也又藐視輕忽也
淼	明	朝	陽	上	渺	大水貌
鳥	泥	朝	陽	上	鳥	飛禽
蔦	泥	朝	陽	上	鳥	蔦蘿寄生草也
窵	泥	朝	陽	上	鳥	遠也
梟	泥	朝	陽	上	鳥	輭美也
嫋	泥	朝	陽	上	鳥	長弱貌又曳貌又風動貌又餘音嫋嫋
了	來	朝	陽	上	了	完也決也又了𥆐曉解也
瞭	來	朝	陽	上	了	目睛明白
蓼	來	朝	陽	上	了	辛苦之菜又音六
蓧	透	朝	陽	上	蓧	條上聲草器
照	照	朝	陰	去	照	明也燭也
炤	照	朝	陰	去	照	同上【照】（明也燭也）
詔	照	朝	陰	去	照	告也上命也又教導之也
笑	心	朝	陰	去	笑	喜而解顔啓齒也
㗛	心	朝	陰	去	笑	同上【笑】（喜而解顔啓齒也）
嘯	心	朝	陰	去	笑	火氣蹙口出聲
歗	心	朝	陰	去	笑	同上又悲恨之調(火氣蹙口出聲）
熽	心	朝	陰	去	笑	火煬也
弔	端	朝	陰	去	弔	弔死傷也又懸也
吊	端	朝	陰	去	弔	懸也亦作弔
釣	端	朝	陰	去	弔	釣魚
跳	透	朝	陰	去	跳	跳躍
趒	透	朝	陰	去	跳	同上【跳】（跳躍）
眺	透	朝	陰	去	跳	視也望也
頫	透	朝	陰	去	跳	視也大夫衆來曰頫寬來曰瞜又音俯
糶	透	朝	陰	去	跳	賣穀米曰糶
醮	精	朝	陰	去	醮	祭名酌酒而無酧酢曰醮又醮席又建醮
蘸	精	朝	陰	去	醮	飲酒盡醉
爝	精	朝	陰	去	醮	爝炬火也莊子曰爝火不息也音爵
竅	曉	朝	陰	去	竅	香要切孔也穴也
肖	清	朝	陰	去	肖	似也像也
誚	清	朝	陰	去	肖	以言相譏詆曰誚
叫	見	朝	陰	去	叫	呼喚也
少	審	朝	陰	去	少	收照切年幼小曰少
票	滂	朝	陰	去	票	牌票又勁疾也
要	以	朝	陰	去	要	故也又樞要握要要約望表頖要
召	照	朝	陽	去	召	呼也
趙	照	朝	陽	去	召	趨也久也利也又姓
兆	照	朝	陽	去	召	億兆十億曰兆又宅兆墓域也又吉兆兆者以求吉爲主故以召言吉又京兆猶言京師也
旐	照	朝	陽	去	召	旐旂
紹	審	朝	陽	去	紹	繼也續也承也
邵	審	朝	陽	去	紹	高也年高得邵又勉也
劭	審	朝	陽	去	紹	勸勉也又自強也
肇	審	朝	陽	去	紹	始也開也
廟	明	朝	陽	去	廟	神廟祖廟
庙	明	朝	陽	去	廟	同上【廟】（神廟祖廟）
妙	明	朝	陽	去	廟	神化不測也又奇妙精妙
料	來	朝	陽	去	料	度也計也量也理也又物料材料
廖	來	朝	陽	去	料	姓
掉	端	朝	陽	去	掉	搖動也
調	端	朝	陽	去	掉	發也遣也又同調腔調
罀	端	朝	陽	去	掉	瓦罀
窕	端	朝	陽	去	掉	窈窕幽閑之意又美色
耀	以	朝	陽	去	耀	炫耀又光照也
燿	以	朝	陽	去	耀	同上【耀】（炫耀又光照也）
曜	以	朝	陽	去	耀	光氣也
尿	泥	朝	陽	去	尿	小便
孤	古	孤	陰	平	孤	獨也幼而無父曰孤又寡德曰孤王侯謙稱也又三孤官名水師少傅少保也
沽	古	孤	陰	平	孤	買也
酤	古	孤	陰	平	孤	買酒
姑	古	孤	陰	平	孤	婦稱夫之母曰姑夫之姊妹亦曰姑又姑息姑且姑負
蛄	古	孤	陰	平	孤	螻蛄蟲名
鴣	古	孤	陰	平	孤	鷓鴣
辜	古	孤	陰	平	孤	辜負又罪也
岵	古	孤	陰	平	孤	山無草木曰岵
柧	古	孤	陰	平	孤	棱也木四方爲柧
觚	古	孤	陰	平	孤	鄉飲之爵又方也又棱也
罛	古	孤	陰	平	孤	取魚之器
菰	古	孤	陰	平	孤	菰茨
怙	古	孤	陰	平	孤	怙恃無父曰失怙無母曰失恃
夫	非	孤	陰	平	夫	男子之稱也
砆	非	孤	陰	平	夫	碔砆石之似玉者
玞	非	孤	陰	平	夫	同上【砆】（碔砆石之似玉者）
鈇	非	孤	陰	平	夫	斧鉞之屬也
趺	非	孤	陰	平	夫	跏趺僧家屈足盤坐之謂
孚	非	孤	陰	平	夫	誠信足以孚契于人
桴	非	孤	陰	平	夫	編竹木爲筏皆曰桴
郛	非	孤	陰	平	夫	郭也
俘	非	孤	陰	平	夫	囚也對敵被擒之人孚穀殼曰俘蓋車中所獲者未也
痡	非	孤	陰	平	夫	病不能行也
枹	非	孤	陰	平	夫	擊鼓之杖
旉	非	孤	陰	平	夫	布列也
敷	非	孤	陰	平	夫	布也施也
膚	非	孤	陰	平	夫	皮也即肌膚
柎	非	孤	陰	平	夫	花木之萼
怤	非	孤	陰	平	夫	急性也思也悅也
呼	非	孤	陰	平	夫	呼喚
枯	非	孤	陰	平	夫	枯槁
莩	非	孤	陰	平	夫	葭也
嘑	非	孤	陰	平	夫	唤也又咄啐之聲
箍	非	孤	陰	平	夫	以篾束物
戲	非	孤	陰	平	夫	於戲嘆詞
麱	非	孤	陰	平	夫	蔴麱
蘇	心	孤	陰	平	蘇	草木名又舒悅也又死而復生也又姓
酥	心	孤	陰	平	蘇	酒名又油酥餅
甦	心	孤	陰	平	蘇	死而復生曰甦
騷	心	孤	陰	平	蘇	騷擾離騷羅騷又憂也愁也
慅	心	孤	陰	平	蘇	心動貌
搔	心	孤	陰	平	蘇	騷擾又搔癢也
繅	心	孤	陰	平	蘇	繹繭爲絲曰蠶繅
臊	心	孤	陰	平	蘇	腥臊
鰠	心	孤	陰	平	蘇	魚名
颾	心	孤	陰	平	蘇	風聲
㢝	心	孤	陰	平	蘇	歷㢝
烏	云	孤	陰	平	烏	烏鴉黑色鳥又烏合之衆
嗚	云	孤	陰	平	烏	嗚呼嘆詞
污	云	孤	陰	平	烏	污穢垢也濁也
杇	云	孤	陰	平	烏	塗鏝音烏
汙	云	孤	陰	平	烏	與污同
粗	清	孤	陰	平	粗	不精也臭惡也
麁	清	孤	陰	平	粗	同上【粗】（不精也臭惡也）
麤	清	孤	陰	平	粗	同上【粗】（不精也臭惡也）
操	清	孤	陰	平	粗	操持
撡	清	孤	陰	平	粗	同上【操】（操持）
哺	幫	孤	陰	平	哺	食在口也又反哺
褒	幫	孤	陰	平	哺	褒獎揚其善也
餔	幫	孤	陰	平	哺	申時食也又餔歇
晡	幫	孤	陰	平	哺	申時曰日晡
酺	幫	孤	陰	平	哺	飲酒作樂曰大酺
逋	幫	孤	陰	平	哺	逃亡也
煲	幫	孤	陰	平	哺	以火逼物曰煲
鋪	滂	孤	陰	平	鋪	陳設也張布也
埔	滂	孤	陰	平	鋪	地之平坦也
𨁏	滂	孤	陰	平	鋪	馬蹀跡也
租	精	孤	陰	平	租	田賦也納谷納屋錢地稅俱曰租又聚也詩子所蓄租
遭	精	孤	陰	平	租	遭逢遭遇
糟	精	孤	陰	平	租	酒糟又糟粕
刀	端	孤	陰	平	刀	兵器
舠	端	孤	陰	平	刀	小船也
都	端	孤	陰	平	刀	天子所居之處曰皇都又府也邑也又皆也
闍	端	孤	陰	平	刀	闉闍城上之臺也又音蛇
高	見	孤	陰	平	高	崇也尚也又敬之也
篙	見	孤	陰	平	高	竹篙撐船用
羔	見	孤	陰	平	高	羔羊其皮可爲裘
餻	見	孤	陰	平	高	粉糜也
糕	見	孤	陰	平	高	同上粉餈也(粉糜也）
臯	見	孤	陰	平	高	臯陶又九臯澤也局也
橰	見	孤	陰	平	高	水車汲水器也
膏	見	孤	陰	平	高	脂膏
櫜	見	孤	陰	平	高	弓韜
鼛	見	孤	陰	平	高	大鼓
滔	透	孤	陰	平	滔	水大流貌又漫也慢也
韜	透	孤	陰	平	滔	韜略又劍衣
縚	透	孤	陰	平	滔	編絲之縚也
惂	透	孤	陰	平	滔	憂困貌
叨	透	孤	陰	平	滔	忝也濫也
饕	透	孤	陰	平	滔	饕餮貪財曰饕探食曰餮
弢	透	孤	陰	平	滔	弓衣
絛	透	孤	陰	平	滔	絲絛
忉	透	孤	陰	平	滔	心憂
蒿	曉	孤	陰	平	蒿	蓬蒿草名
薅	曉	孤	陰	平	蒿	去草也
噑	曉	孤	陰	平	蒿	熊虎狐狸聲
熬	亞	孤	陰	平	熬	屋高切熬煎也
熝	亞	孤	陰	平	熬	煨而熟之也
鏖	亞	孤	陰	平	熬	鏊戰盡死殺人曰鏊
無	明	孤	陽	平	無	空也虛也有之對也
无	明	孤	陽	平	無	同上【無】（空也虛也有之對也）
蕪	明	孤	陽	平	無	荒蕪又草名
模	明	孤	陽	平	無	規模又模範形樣也
謨	明	孤	陽	平	無	典謨謀也
摹	明	孤	陽	平	無	倣也傚也
巫	明	孤	陽	平	無	祈祝之人
誣	明	孤	陽	平	無	惑也罔也詐也誇也
毋	明	孤	陽	平	無	禁止之詞
毛	明	孤	陽	平	無	毛髮又鳥獸之毛
髦	明	孤	陽	平	無	髮也又俊髦士之首選也士中之俊如毛中之髦也又兩髦髮至眉子事父母之飾
旄	明	孤	陽	平	無	旄牛尾注于旂竿之首又前高後下曰旄邱
芼	明	孤	陽	平	無	草覆蔓也又菜也又芼羹又熟而荐之也
胡	云	孤	陽	平	胡	何也又北夷曰胡
湖	云	孤	陽	平	胡	江湖大坡曰湖
葫	云	孤	陽	平	胡	葫蘆菜名也
糊	云	孤	陽	平	胡	米糊又糊塗不明
瑚	云	孤	陽	平	胡	瑚璉宗廟盛黍稷之器
醐	云	孤	陽	平	胡	醒醐酥之精液即酒滓也
餬	云	孤	陽	平	胡	糜也又餬口寄食於人也
鶘	云	孤	陽	平	胡	鳥名
弧	云	孤	陽	平	胡	木爲弓
瓠	云	孤	陽	平	胡	瓢也
狐	云	孤	陽	平	胡	狐狸獸名
壺	云	孤	陽	平	胡	酒壺茶壺
乎	云	孤	陽	平	胡	語助詞
𡍼	透	孤	陽	平	𡍼	泥也又糊塗
途	透	孤	陽	平	𡍼	路途
徒	透	孤	陽	平	𡍼	但也衆也又步行也徒師之弟子也
駼	透	孤	陽	平	𡍼	馬名
鵌	透	孤	陽	平	𡍼	鳥名
荼	透	孤	陽	平	𡍼	苦菜又荼薇花又神荼
梌	透	孤	陽	平	𡍼	梌木
酴	透	孤	陽	平	𡍼	酴酥美酒名
圖	透	孤	陽	平	𡍼	謀也又盡彩也
啚	透	孤	陽	平	𡍼	啚籍板啚
咷	透	孤	陽	平	𡍼	號咷
屠	透	孤	陽	平	𡍼	殺也刳也裂也
瘏	透	孤	陽	平	𡍼	病不能行
涂	透	孤	陽	平	𡍼	旅途也又姓
陶	透	孤	陽	平	𡍼	瓦器
淘	透	孤	陽	平	𡍼	淘沙淘洗澄汰也
醄	透	孤	陽	平	𡍼	配醄醉貌
桃	透	孤	陽	平	𡍼	桃花
裪	透	孤	陽	平	𡍼	衣袖也
綯	透	孤	陽	平	𡍼	索也
鞉	透	孤	陽	平	𡍼	小鼓兩旁有耳持其柄而搖之則旁耳還自擊
鞀	透	孤	陽	平	𡍼	同上【鞉】（小鼓兩旁有耳持其柄而搖之則旁耳還自擊）
𩋃	透	孤	陽	平	𡍼	臯𩋃鼓木也
匋	透	孤	陽	平	𡍼	與陶同
逃	透	孤	陽	平	𡍼	逃走逃亡避去也
迯	透	孤	陽	平	𡍼	同上【逃】（逃走逃亡避去也）
濤	透	孤	陽	平	𡍼	波濤海中大浪也亦曰潮頭
檮	透	孤	陽	平	𡍼	檮杌謂兇頑之人曰檮杌
翿	透	孤	陽	平	𡍼	舞者所持羽毛之屬
䬞	透	孤	陽	平	𡍼	風也
菟	透	孤	陽	平	𡍼	楚語虎曰於菟
蒲	滂	孤	陽	平	蒲	水草也
莆	滂	孤	陽	平	蒲	草名又縣名
匍	滂	孤	陽	平	蒲	匍匐手足並行之貌
菩	滂	孤	陽	平	蒲	菩薩
葡	滂	孤	陽	平	蒲	葡萄果名
袍	滂	孤	陽	平	蒲	長衣
符	非	孤	陽	平	符	合也券也又符節
苻	非	孤	陽	平	符	草名又萑苻
扶	非	孤	陽	平	符	扶持引也
夫	非	孤	陽	平	符	發語詞
颫	非	孤	陽	平	符	大風也
鳧	非	孤	陽	平	符	鴨也
蚨	非	孤	陽	平	符	青蚨蟲名
盧	來	孤	陽	平	盧	飯器又姓
爐	來	孤	陽	平	盧	火爐香爐
炉	來	孤	陽	平	盧	同上【爐】（火爐香爐）
鑪	來	孤	陽	平	盧	酒器亦作炉
鱸	來	孤	陽	平	盧	魚名
纑	來	孤	陽	平	盧	麻縷也
瓐	來	孤	陽	平	盧	碧玉名
轤	來	孤	陽	平	盧	轆轤井上汲水曰轉木
矑	來	孤	陽	平	盧	木童子也
顱	來	孤	陽	平	盧	頭顱頭上之骨
艫	來	孤	陽	平	盧	舟之總名
壚	來	孤	陽	平	盧	黑剛之壚
瀘	來	孤	陽	平	盧	水名
鸕	來	孤	陽	平	盧	鸕鷀取魚之鳥也
籚	來	孤	陽	平	盧	茅戟之稱
蘆	來	孤	陽	平	盧	蘆葦
勞	來	孤	陽	平	盧	勞苦疲也劇病也又勤勞功勞
癆	來	孤	陽	平	盧	内傷病
牢	來	孤	陽	平	盧	堅牢又牢獄又獸圈又牛曰大牢
醪	來	孤	陽	平	盧	醇醪美酒也
奴	泥	孤	陽	平	奴	役也僕也
駑	泥	孤	陽	平	奴	駘駑醜馬
孥	泥	孤	陽	平	奴	子孫也
帑	泥	孤	陽	平	奴	同上又音倘庫藏也(子孫也）
徂	清	孤	陽	平	徂	往也落也
殂	清	孤	陽	平	徂	死也滅也
曹	清	孤	陽	平	徂	局也衆也輩也又同事曰曹
嘈	清	孤	陽	平	徂	喧也又胡酒也
螬	清	孤	陽	平	徂	蟲名
艚	清	孤	陽	平	徂	船艚
槽	清	孤	陽	平	徂	馬槽滿槽
漕	清	孤	陽	平	徂	衛邑也又以水運糧曰漕運
豪	曉	孤	陽	平	豪	豪傑大也俊也
毫	曉	孤	陽	平	豪	毫釐
濠	曉	孤	陽	平	豪	城下河也
壕	曉	孤	陽	平	豪	城也
譹	曉	孤	陽	平	豪	戲也
蠔	曉	孤	陽	平	豪	螺屬
㠙	曉	孤	陽	平	豪	山名
